,dip_ct,dip_pkt_size_ct
133.149.172.254,6,288
202.204.56.129,9,950
133.11.70.145,110,11452
133.149.79.144,2,80
150.75.87.81,1,40
150.75.151.145,1,40
133.149.222.19,1,40
133.149.161.125,1,40
133.11.83.25,1,40
133.11.82.23,1,40
163.33.15.154,1,40
150.75.8.199,1,40
202.198.42.60,1,44
133.149.126.173,1,40
203.77.90.174,1,40
203.77.55.87,1,40
133.149.17.73,1,40
133.11.70.195,66,3559
163.33.63.131,2,435
133.149.16.80,1,40
133.11.65.15,1,40
133.149.6.192,1,44
133.149.122.202,1,40
133.149.62.241,1,40
203.77.116.214,7,1413
163.33.62.175,3,494
203.77.93.255,1,40
163.33.188.53,1,40
163.33.255.12,1,40
203.77.125.33,2029,3036540
163.33.90.88,1,52
163.33.0.22,1,40
133.11.71.252,1,40
133.149.204.58,1,40
203.77.11.51,1,40
203.77.122.175,1,52
150.75.12.17,1,40
150.75.114.67,2,80
150.75.62.233,1,40
203.77.121.199,3,308
163.33.251.167,1,40
203.77.4.35,10,480
150.75.63.125,63,3640
203.77.98.235,1,40
150.75.223.99,1,40
133.11.115.3,1,44
202.198.62.4,1,40
133.149.80.104,1,40
133.149.167.219,1,40
203.77.127.55,16,1285
133.149.190.191,1,40
163.33.157.235,1,40
133.149.157.158,1,40
133.11.70.158,51,5714
133.149.245.51,1,40
150.75.63.99,73,4056
202.198.44.115,9,796
203.77.11.31,1,40
150.75.58.254,1,52
150.75.216.139,1,40
150.75.197.87,1,40
150.75.134.19,1,40
163.33.208.36,1,40
163.33.93.4,7,550
133.11.70.149,73,7674
150.75.82.251,1,40
203.77.17.252,1,40
163.33.205.169,1,106
133.149.57.254,1,40
163.33.138.84,9,5519
163.33.205.171,4,424
203.77.127.40,1,40
133.149.17.27,1,40
163.33.25.199,1,40
150.75.150.119,2,112
202.198.45.160,1,44
133.11.70.135,61,6286
202.204.62.36,443,657633
202.198.4.133,1,394
133.149.245.26,1,40
202.198.37.97,1,40
163.33.92.39,1653,2357178
150.75.49.228,1,40
133.11.65.213,1,40
203.77.115.33,117,14940
150.75.69.116,1,40
133.11.70.152,82,8206
202.198.38.248,1,40
163.33.153.20,330,450021
163.33.89.129,1,40
163.33.89.199,1,40
163.33.227.32,2,88
203.77.41.100,1,40
163.33.137.45,1,48
150.75.12.57,1,40
163.33.246.169,1,40
133.149.69.241,1,40
133.149.110.70,1,40
163.33.233.70,1,103
133.11.124.105,1,40
203.77.34.111,1,40
133.149.111.9,1,40
133.149.56.70,1,40
163.33.245.201,1,40
133.149.167.228,1,40
203.77.101.51,1,40
163.33.132.68,28,6768
163.33.71.96,1,40
133.149.245.110,1,48
203.77.23.179,1,40
163.33.217.13,8,384
150.75.249.88,1,40
163.33.198.116,1,40
133.149.218.182,1,44
163.33.71.122,5,792
150.75.157.62,1,40
133.11.70.136,77,8180
203.77.108.93,1,40
202.198.32.108,1,40
133.149.90.24,1,40
202.198.44.248,23,2015
163.33.230.249,2,80
163.33.215.12,1,52
150.75.144.4,1,40
163.33.58.139,1,40
150.75.249.129,1,40
163.33.66.100,1,40
163.33.133.84,1,64
133.11.70.147,62,6689
203.77.116.2,1,52
163.33.83.82,1,40
133.149.134.83,1,121
150.75.207.119,1,40
133.11.118.232,1,40
163.33.15.119,1,40
163.33.246.212,2,769
163.33.127.142,1,40
203.166.184.154,2,849
133.11.70.133,75,4138
150.75.120.216,1,40
133.11.70.150,87,9483
133.149.35.25,7,336
150.75.67.102,1,40
150.75.68.24,1,40
150.75.217.190,1,40
163.33.198.22,5,200
163.33.141.152,15,3819
163.33.57.13,19,2038
133.149.189.157,1,48
133.149.239.28,1,44
150.75.197.34,1,40
163.33.247.7,1,40
163.33.94.65,32,3809
150.75.175.76,1,40
150.75.5.93,1,40
163.33.245.125,14,5309
203.77.18.145,1,44
150.75.234.23,1,40
133.11.70.138,62,6725
133.149.217.109,1,40
163.33.35.172,1,40
150.75.178.27,1,40
150.75.8.165,1,48
150.75.166.9,1,40
133.149.245.40,1,40
163.33.141.137,1,89
163.33.155.201,1,40
203.77.123.139,1,40
163.33.83.29,1,40
203.77.122.57,61,5279
203.77.126.80,166,8680
163.33.144.135,1,40
203.77.125.159,6,641
133.149.70.131,1,40
133.11.70.134,110,11538
133.149.214.70,1,40
202.25.109.69,1,44
203.77.125.66,1,40
133.149.145.150,1,40
133.149.18.237,1,40
150.75.184.157,1,40
203.77.0.2,1,40
133.149.213.62,1,40
163.33.43.227,1,40
202.25.109.207,1,44
150.75.83.172,1,40
150.75.245.95,1,52
203.77.121.78,4,360
163.33.191.200,2,354
163.33.181.193,1,40
163.33.191.243,7,377
163.33.127.24,2,80
133.11.98.52,1,40
133.11.118.149,1,40
202.198.0.56,1,40
202.204.62.232,1,81
203.77.44.141,1,40
133.11.70.137,102,10280
133.149.38.153,1,40
133.149.61.11,1,40
203.77.68.243,1,40
133.149.23.130,1,40
163.33.225.186,1,40
163.33.17.100,1,40
163.33.218.214,1,40
163.33.201.51,921,1373156
133.149.203.41,1,40
150.75.181.185,1,40
133.149.107.154,1,52
133.149.123.44,1,40
150.75.223.69,1,40
163.33.57.34,32,43584
150.75.23.104,1,40
150.75.248.191,1,40
150.75.249.209,1,40
163.33.57.47,3,393
133.149.49.0,1,40
150.75.82.136,1,40
133.149.211.206,1,40
163.33.199.202,2,80
203.77.73.26,1,40
163.33.109.202,1,40
163.33.141.72,54,3412
133.149.198.56,2,80
163.33.63.193,1,44
203.77.26.14,1,40
163.33.192.43,1,40
203.77.121.134,6,4866
150.75.3.72,1,40
150.75.17.195,1,40
150.75.160.180,1,40
163.33.237.47,1,44
202.198.28.210,1,52
203.77.80.97,1,40
133.11.70.142,73,7358
202.198.53.220,1,40
202.198.21.39,1,40
203.77.115.6,3,174
163.33.158.192,1,40
133.11.70.146,49,5622
203.77.80.173,1,40
202.198.54.230,1,40
203.77.1.237,1,40
202.204.62.176,11,7080
163.33.165.18,1,40
150.75.200.226,1,44
202.198.59.163,1,40
163.33.153.3,1,40
150.75.24.204,1,40
202.198.7.53,1,40
163.33.120.175,1,40
163.33.59.170,12,5789
163.33.245.48,2,651
133.149.167.79,2,80
202.204.56.152,8,1956
163.33.174.138,1,40
150.75.210.214,1,40
202.204.60.174,6,1830
133.149.108.142,1,40
202.198.38.70,1,40
150.75.140.171,1,40
163.33.237.36,19,2585
203.77.113.192,6,450
133.149.235.24,1,52
133.149.164.201,1,52
150.75.61.6,1,40
163.33.193.163,1,40
163.33.94.158,94,92938
133.11.102.25,1,44
133.149.147.192,1,40
203.77.112.247,2,80
203.77.116.192,2,158
203.77.120.249,59,39976
203.77.121.47,1,40
163.33.251.102,1,40
163.33.63.175,3,359
133.11.124.4,1,40
150.75.248.87,1,40
163.33.60.58,1,40
163.33.138.119,1,44
133.149.174.5,1,40
133.149.39.35,1,40
163.33.178.157,1,40
202.198.35.37,1,40
203.77.8.81,1,40
133.149.199.101,1,40
203.77.122.187,1,40
163.33.92.126,1,40
150.75.233.206,1,40
202.204.62.182,407,607244
133.149.238.107,1,40
150.75.160.2,1,40
163.33.49.199,1,40
163.33.85.59,1,40
150.75.211.199,1,40
133.149.181.71,1,40
133.149.253.114,2,80
163.33.240.213,1,40
203.77.109.199,1,40
133.149.134.222,1,40
133.149.243.158,34,1360
150.75.237.49,2,80
163.33.58.198,1,40
150.75.113.210,1,40
202.198.33.19,1,40
202.198.18.212,1,40
150.75.1.35,1,44
163.33.203.125,6,288
163.33.94.130,16,832
203.77.123.49,6,3296
150.75.93.249,1,40
150.75.18.42,1,40
163.33.215.160,1,40
150.75.207.142,1,44
150.75.118.217,2,80
203.77.120.28,9,432
203.77.58.74,1,40
163.33.158.115,1,40
133.149.202.13,1,40
133.149.145.115,1,40
133.11.70.151,88,9208
150.75.210.172,1,40
133.11.109.186,1,40
150.75.150.16,1,40
150.75.221.86,1,40
203.77.126.12,1,40
150.75.227.216,1,40
203.77.89.25,1,40
133.11.113.62,1,44
133.149.150.108,1,40
150.75.83.96,1,40
150.75.230.12,1,40
163.33.141.20,91,101443
133.149.34.143,1,40
150.75.195.147,1,40
150.75.126.71,1,40
150.75.89.83,1,40
150.75.105.235,1,40
203.77.55.58,1,40
163.33.253.233,1,40
163.33.206.244,1,76
203.77.110.231,1,40
163.33.206.156,1,44
133.11.70.154,85,9076
163.33.241.255,1,44
150.75.211.96,1,40
163.33.198.146,17,1005
133.149.172.72,1,44
150.75.200.33,1,40
202.198.13.1,1,40
150.75.236.142,1,40
133.11.70.156,95,9168
133.149.217.199,1,44
133.11.70.129,119,12352
150.75.191.1,1,40
150.75.180.102,1,60
133.149.198.241,1,40
203.77.120.223,12,1337
163.33.122.180,5,240
163.33.43.102,1,40
163.33.111.31,1,44
163.33.174.24,33,40867
133.11.70.160,1,87
203.77.122.221,2,80
150.75.143.46,1,40
150.75.79.214,1,40
133.149.0.80,1,40
163.33.199.11,1,40
163.33.161.139,1,52
150.75.143.210,1,76
133.149.115.100,1,40
133.11.80.7,1,40
203.77.35.232,1,40
150.75.143.45,1,40
150.75.221.121,1,44
133.149.228.221,1,40
150.75.34.28,1,40
133.149.152.77,1,40
163.33.0.190,1,504
203.77.78.220,1,40
163.33.97.97,1,40
203.77.44.124,1,40
202.198.17.243,1,40
150.75.70.184,1,40
150.75.148.203,1,40
163.33.108.122,1,40
133.149.201.84,1,40
150.75.214.103,1,40
163.33.93.20,14,13501
202.198.38.244,1,60
133.149.11.232,1,40
150.75.58.37,2,84
133.11.70.144,42,4471
150.75.41.119,1,40
150.75.149.5,1,40
133.149.227.109,1,40
163.33.69.245,1,44
203.77.27.51,1,40
203.77.18.15,1,40
163.33.210.218,1,40
163.33.67.230,1,40
202.204.56.153,2,240
133.11.77.54,1,40
133.149.18.79,1,40
163.33.160.37,1,40
133.149.97.147,1,40
163.33.235.79,1,40
203.77.114.43,1,40
150.75.66.59,1,121
133.149.66.9,1,40
133.11.70.153,73,7647
163.33.121.147,1,40
150.75.68.40,1,40
163.33.92.22,1,40
202.25.109.252,2,88
203.77.118.146,2,80
150.75.139.160,2,84
150.75.139.141,1,40
203.77.125.199,1,52
150.75.38.165,1,576
203.77.121.30,1,40
163.33.152.250,1,40
150.75.125.0,1,40
163.33.254.181,3,377
150.75.175.224,1,40
133.149.168.9,1,40
202.204.62.109,1,40
133.149.8.225,1,40
150.75.39.85,1,40
163.33.92.79,1,40
150.75.163.12,1,40
163.33.132.127,1,40
163.33.59.26,1,40
163.33.11.210,1,40
133.149.148.115,1,40
163.33.96.181,1,40
163.33.253.143,2,80
150.75.57.188,1,40
150.75.136.71,1,40
202.198.63.231,1,52
133.149.147.249,1,40
163.33.225.178,1,40
150.75.3.246,1,40
163.33.196.52,1,40
150.75.245.137,1,44
203.77.46.25,1,40
133.11.80.16,1,40
150.75.215.68,1,40
203.77.103.136,1,44
163.33.85.81,1,40
133.11.108.72,1,44
163.33.34.78,1,44
150.75.148.134,1,40
163.33.95.248,1,40
150.75.213.104,1,40
150.75.142.229,1,40
150.75.29.82,1,40
150.75.39.25,1,40
202.204.56.183,16,2269
133.149.10.177,1,48
133.149.8.209,1,40
202.198.44.205,1,52
133.11.105.46,1,40
203.77.23.52,2,104
133.149.20.82,1,40
203.77.11.93,1,40
150.75.244.168,1,40
163.33.253.174,1,40
133.11.82.179,1,44
203.77.27.35,1,40
203.77.99.224,1,44
133.149.178.136,1,40
150.75.153.143,1,40
163.33.218.163,1,40
150.75.133.208,1,40
150.75.134.128,1,40
163.33.44.117,1,40
163.33.2.98,1,40
163.33.141.252,4,270
163.33.141.162,1,40
133.149.79.77,1,40
163.33.98.163,1,44
133.11.70.131,43,4515
133.149.140.140,1,40
133.149.157.51,1,40
202.198.20.102,1,40
163.33.52.119,1,40
163.33.234.136,1,44
133.11.120.208,1,40
202.204.60.112,46,46797
133.149.75.204,1,40
150.75.234.244,1,40
203.77.121.159,1,40
133.11.81.248,1,60
203.77.61.90,1,40
163.33.92.43,1,694
150.75.201.174,1,40
203.77.11.12,1,40
133.11.65.7,1,40
133.149.115.84,1,44
163.33.67.35,1,40
133.149.236.24,1,40
133.11.64.43,1,40
133.149.43.59,7,280
203.77.81.253,1,40
150.75.122.43,1,40
133.149.39.90,1,40
133.11.106.80,1,40
163.33.111.108,1,40
133.149.197.195,2,84
163.33.229.91,1,40
133.149.121.228,1,40
163.33.148.198,1,40
163.33.156.75,1,40
133.149.175.121,1,40
202.198.39.87,1,40
150.75.154.228,1,40
133.149.49.157,1,40
163.33.22.21,1,40
163.33.132.39,36,14131
133.149.48.173,1,40
202.198.37.157,1,40
202.204.62.172,1,40
150.75.251.166,2,80
163.33.84.236,1,40
133.149.91.55,1,40
150.75.12.205,1,52
163.33.108.105,1,44
163.33.214.38,1,40
133.149.220.246,1,44
150.75.223.185,1,40
202.198.46.20,1,40
203.77.50.54,1,40
203.77.45.75,1,40
203.77.38.107,1,40
163.33.252.205,2,88
163.33.233.195,251,257630
133.149.96.67,1,40
150.75.255.21,2,80
163.33.92.5,1,180
202.198.52.153,1,121
133.149.246.181,1,40
150.75.12.53,1,40
163.33.102.158,1,40
133.149.203.210,1,40
163.33.44.18,13,12077
203.77.119.39,1,40
203.77.121.145,5,480
133.11.91.249,1,60
150.75.84.18,1,40
163.33.62.135,4,456
133.149.213.192,1,44
133.149.158.0,1,40
203.77.86.253,1,40
133.149.128.130,1,40
133.149.8.232,1,40
150.75.153.173,1,40
163.33.203.121,1,40
133.149.20.141,1,44
163.33.58.193,1,40
163.33.47.116,1,44
150.75.114.75,1,40
133.149.250.247,1,40
163.33.87.121,1,44
133.149.116.98,1,40
203.77.62.20,1,40
150.75.155.93,1,40
150.75.80.90,1,44
203.77.41.49,1,40
133.11.83.245,1,121
133.11.70.139,45,5001
163.33.72.35,1,40
203.77.51.189,1,40
203.77.90.83,1,40
203.77.126.41,1,40
133.149.27.80,1,40
163.33.63.130,5,848
133.149.177.69,1,40
163.33.78.167,2,88
203.77.104.116,1,40
133.149.244.72,2,92
133.149.235.12,1,40
202.198.4.104,1,40
133.149.220.58,1,44
133.11.88.250,1,40
150.75.164.68,1,40
133.149.20.167,1,44
163.33.204.141,1,40
133.11.78.163,1,44
150.75.129.241,1,40
150.75.65.121,1,40
150.75.29.157,1,40
133.11.82.9,2,108
133.11.70.132,71,7155
150.75.133.183,1,40
202.204.63.117,12,480
150.75.152.9,1,40
150.75.42.174,1,40
133.11.109.64,1,40
150.75.110.45,1,40
133.149.185.22,1,40
133.149.121.127,1,40
203.77.123.252,1,40
203.77.19.173,1,40
163.33.125.123,1,40
133.11.70.159,48,4797
202.198.22.216,1,40
163.33.48.241,1,44
203.77.86.201,1,44
150.75.251.247,1,40
203.77.51.63,1,40
150.75.136.61,1,40
150.75.2.171,1,40
150.75.169.172,1,40
203.77.51.45,1,40
163.33.36.255,1,112
150.75.109.52,1,40
163.33.77.187,1,40
150.75.152.114,1,40
163.33.204.32,1,40
150.75.232.177,1,40
133.149.101.128,1,44
150.75.241.204,1,40
150.75.113.6,1,40
133.11.88.138,1,40
150.75.81.156,1,48
163.33.118.140,1,40
150.75.2.169,1,40
133.11.101.161,1,48
150.75.235.209,2,80
133.149.225.255,1,40
163.33.79.63,1,40
133.149.222.124,1,40
150.75.147.150,1,40
150.75.220.45,1,40
163.33.40.195,1,40
202.25.109.210,1,40
202.198.13.117,1,40
133.149.230.108,1,40
133.11.101.20,1,58
133.149.58.22,1,44
203.77.23.129,1,40
203.77.55.128,1,40
163.33.201.199,7,336
163.33.91.163,1,40
163.33.180.140,1,40
133.149.127.186,1,40
133.149.25.80,1,40
163.33.134.228,1,40
163.33.62.172,1,132
163.33.251.25,1,40
150.75.69.74,1,40
133.149.79.149,1,40
163.33.173.24,1,40
163.33.223.182,1,40
133.149.101.129,1,44
133.11.117.182,1,40
150.75.234.220,1,40
163.33.140.103,13,3793
150.75.172.25,1,40
203.77.73.27,1,40
150.75.157.3,1,44
150.75.177.255,1,44
202.15.129.163,1,40
163.33.97.210,2,80
150.75.70.97,1,44
163.33.31.18,1,40
203.77.76.148,1,40
133.11.107.61,1,40
163.33.12.166,12,922
202.198.49.100,1,40
163.33.5.41,1,40
133.149.167.25,1,40
133.149.204.37,1,40
203.77.43.1,1,40
133.149.133.157,1,40
163.33.59.144,1,40
150.75.50.234,1,40
203.77.42.185,1,40
203.77.32.106,1,40
150.75.65.237,1,40
163.33.213.60,1,40
163.33.177.211,1,40
133.149.214.104,1,40
163.33.183.130,1,40
163.33.180.210,1,40
203.77.115.234,12,6217
203.77.120.158,10,449
202.198.62.224,1,40
133.149.199.58,1,40
203.77.125.165,1,40
163.33.0.242,1,44
203.77.45.85,1,44
203.77.106.236,3,444
150.75.52.162,1,40
150.75.74.92,1,40
150.75.128.32,1,40
133.149.249.116,1,53
163.33.71.158,1,40
163.33.245.141,12474,18719776
133.149.81.21,1,40
150.75.89.169,1,40
150.75.206.31,1,44
150.75.239.82,1,40
133.11.70.128,31,3483
163.33.81.230,1,40
163.33.199.210,1,40
163.33.212.31,1,40
163.33.196.12,1,40
133.149.67.213,1,40
163.33.0.241,1,40
133.149.230.86,1,40
133.149.202.209,1,40
133.149.48.117,1,40
150.75.95.125,1,40
150.75.179.240,1,40
133.149.220.152,1,40
163.33.228.87,1,52
202.198.37.180,1,40
150.75.70.211,1,40
133.149.231.94,1,40
150.75.55.77,1,40
150.75.102.87,1,40
163.33.184.158,1,40
163.33.210.111,1,40
150.75.118.151,1,40
133.149.139.54,1,40
133.11.110.132,1,44
163.33.232.84,1,40
163.33.1.216,1,44
150.75.92.192,1,40
133.11.88.9,1,60
202.204.58.201,1,40
133.149.218.22,1,40
150.75.47.73,1,40
203.77.124.17,2,752
163.33.185.235,1,40
133.149.80.124,1,40
150.75.247.230,1,40
150.75.187.52,1,40
150.75.41.23,1,40
150.75.26.13,1,40
163.33.20.63,1,40
202.204.56.136,1,40
150.75.107.180,1,40
150.75.140.151,1,40
150.75.79.238,1,40
150.75.83.3,1,40
150.75.124.188,5,276
203.77.93.218,1,44
150.75.26.103,5,2173
133.11.82.234,1,40
203.77.123.190,1,40
133.149.88.25,1,40
202.198.48.255,1,52
150.75.254.186,1,40
133.11.109.156,1,40
133.149.150.107,1,40
133.149.144.93,3,120
133.149.215.21,1,40
163.33.10.73,1,40
163.33.136.75,1,40
150.75.247.191,1,60
203.77.115.5,44,2288
133.149.214.46,1,40
150.75.170.189,1,40
133.11.76.90,2,84
133.11.84.78,1,44
150.75.145.89,1,40
163.33.232.63,1,40
150.75.148.197,1,44
133.149.2.9,1,40
150.75.223.119,1,40
133.149.62.84,1,40
163.33.6.51,1,40
163.33.130.43,1,40
133.149.61.146,1,44
150.75.137.72,1,40
163.33.165.206,1,40
133.149.96.95,1,40
133.11.70.148,48,4813
203.77.44.48,1,40
203.77.41.184,1,40
163.33.187.97,1,40
163.33.220.15,1,40
150.75.84.208,1,40
203.77.101.8,1,40
150.75.248.163,1,40
163.33.12.104,5,1138
150.75.13.182,1,44
163.33.10.132,1,44
163.33.203.79,8,1862
163.33.195.222,1,40
163.33.147.33,1,40
133.149.191.47,1,40
133.149.139.114,2,80
133.11.107.79,1,40
150.75.22.179,1,40
163.33.166.33,1,40
133.11.80.145,1,60
133.149.171.189,1,40
133.149.92.24,1,52
133.11.105.7,1,40
150.75.26.101,5,2173
150.75.26.100,5,2171
150.75.26.96,5,2175
203.77.71.233,1,40
163.33.105.111,1,40
133.149.81.4,1,40
150.75.109.231,1,40
203.77.89.123,1,40
133.149.35.174,1,40
150.75.117.92,1,40
163.33.140.135,7,517
163.33.159.137,1,28
133.149.121.134,1,40
133.149.23.10,1,40
203.77.98.82,1,40
163.33.33.43,1,40
202.198.0.148,2,151
150.75.201.229,1,40
202.198.39.212,1,40
163.33.194.250,1,40
133.149.227.62,1,40
150.75.26.97,5,2172
163.33.231.55,1,40
133.149.196.241,1,40
133.11.115.164,1,40
163.33.169.107,1,44
150.75.26.99,6,2213
133.149.229.208,1,58
150.75.84.163,1,40
163.33.62.132,3,516
133.149.110.48,1,40
133.149.61.165,1,40
150.75.40.89,1,40
163.33.31.34,1,40
150.75.39.151,1,40
163.33.147.247,1,40
202.198.43.172,1,44
150.75.26.98,5,2172
133.149.164.247,1,40
163.33.171.162,1,40
133.149.65.249,1,40
133.149.143.63,1,48
203.77.126.18,1,40
133.149.189.30,1,48
133.149.7.234,1,40
150.75.26.61,5,2174
133.149.165.4,2,80
202.204.58.227,1,40
150.75.254.20,1,40
202.204.56.143,4,144
133.149.238.67,1,40
150.75.220.145,1,44
163.33.154.207,1,40
203.77.97.136,1,40
150.75.170.123,1,40
133.149.215.94,1,40
202.204.58.222,2,80
150.75.26.60,5,2171
203.77.80.231,1,32
163.33.236.214,1,40
150.75.133.211,1,40
202.198.37.38,1,40
133.149.127.122,1,40
163.33.194.124,1,40
203.77.41.147,1,40
150.75.85.64,1,40
133.149.24.110,1,40
202.204.56.155,28,12515
163.33.177.143,1,52
163.33.45.142,1,40
203.77.115.215,1,44
133.149.215.71,1,40
133.149.213.232,1,40
150.75.248.125,1,52
150.75.118.161,1,40
133.149.81.107,1,40
150.75.141.210,1,40
203.77.71.3,1,40
133.149.38.120,1,40
202.198.39.213,1,40
133.149.135.74,1,40
150.75.236.102,1,40
163.33.92.56,154,216393
163.33.49.7,4,160
133.149.9.79,1,40
133.149.73.192,4,160
163.33.69.225,1,40
203.77.127.0,1,40
202.198.55.19,1,44
150.75.116.123,1,52
163.33.93.237,6,1123
150.75.105.141,1,40
202.198.12.142,1,40
133.11.73.250,1,40
203.77.120.110,4,632
203.77.122.231,6,616
150.75.136.184,1,40
150.75.21.119,1,40
202.198.62.68,1,40
133.11.105.129,1,40
150.75.127.106,1,44
150.75.234.247,1,44
133.11.74.232,1,60
133.149.207.49,1,40
150.75.29.195,1,44
133.149.130.26,1,40
163.33.8.111,1,48
150.75.210.7,1,40
133.149.81.167,1,40
163.33.233.222,7,653
163.33.207.176,1,40
150.75.254.140,1,44
163.33.196.98,1,40
163.33.63.173,3,1207
133.11.82.91,1,60
133.149.149.66,1,40
203.77.33.110,1,44
163.33.194.65,1,40
133.149.71.24,1,40
133.149.43.99,1,40
133.149.191.192,1,40
133.11.70.192,2,272
163.33.10.125,1,40
133.149.187.48,1,40
163.33.237.120,7,2231
133.11.82.149,1,60
202.198.0.145,1,84
163.33.93.84,1,40
133.149.127.198,1,40
150.75.229.246,1,44
202.204.56.134,2,104
133.149.120.97,1,44
133.149.168.143,1,40
133.11.93.240,1,60
133.149.142.125,1,44
203.77.111.161,1,40
133.149.55.201,1,30
133.149.53.62,1,40
150.75.210.239,1,40
150.75.7.240,1,40
202.198.22.96,1,44
203.77.8.213,1,52
133.149.120.75,1,40
133.149.28.22,1,44
133.11.116.249,1,40
203.77.66.234,1,40
203.77.96.144,1,40
163.33.99.51,3,371
133.149.94.177,1,40
163.33.132.197,1,40
202.198.42.44,1,40
202.198.38.154,1,40
202.198.49.126,1,44
150.75.198.142,1,40
133.149.146.241,1,48
163.33.255.129,1,40
203.77.121.97,1,73
163.33.77.66,1,40
203.77.77.175,1,40
163.33.199.114,1,40
163.33.19.119,1,40
163.33.59.236,1,40
150.75.164.240,1,40
150.75.162.177,1,40
133.149.100.255,1,44
150.75.98.142,1,52
133.149.51.95,1,40
150.75.219.114,1,48
163.33.25.25,1,44
203.77.118.218,1,136
133.149.38.252,1,44
133.11.116.10,1,40
133.11.94.31,1,60
133.11.70.220,2,104
150.75.170.173,1,52
150.75.91.86,1,40
163.33.80.246,1,40
150.75.202.36,1,40
150.75.12.157,1,40
202.198.37.229,1,44
150.75.40.188,1,44
133.149.77.151,1,28
133.149.114.80,1,40
133.149.253.185,1,48
150.75.232.202,1,40
203.77.71.81,1,40
133.149.78.233,1,40
163.33.202.78,1,40
203.77.99.132,1,40
133.149.78.57,1,40
133.149.92.11,1,40
133.149.94.167,1,40
163.33.156.7,1,40
150.75.223.165,1,40
133.149.29.205,1,40
150.75.50.45,1,40
133.11.77.193,1,40
163.33.181.245,2,80
133.149.31.227,1,29
203.77.67.252,1,52
150.75.249.194,1,40
203.77.118.188,6,501
202.198.11.128,2,88
163.33.141.231,2,376
133.149.254.230,2,80
203.77.78.164,1,40
203.77.122.220,4,520
150.75.151.201,1,40
150.75.226.209,1,40
150.75.131.253,1,48
